trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,45,1,0,
6,87,0,0,
6,131,1,0,
6,173,0,0,
6,214,1,0,
6,263,1,0,
6,321,1,0,
6,373,1,0,
6,417,1,0,
6,462,1,0,
6,509,1,0,
6,551,1,0,
6,593,1,0,
6,640,1,0,
6,686,1,0,
6,732,1,0,
6,778,1,0,
6,822,1,0,
6,866,1,0,
6,909,1,0,
6,953,1,0,
6,1006,1,0,
6,1054,1,0,
6,1093,0,0,
6,1135,1,0,
6,1176,1,0,
6,1217,1,0,
6,1260,1,0,
6,1302,1,0,
6,1349,1,0,
6,1390,0,1,
6,1432,1,0,
6,1478,0,0,
6,1520,1,0,
6,1562,1,0,
6,1605,1,0,
6,1647,1,0,
6,1690,1,0,
6,1732,0,1,
6,1776,0,1,
6,1819,1,0,
6,1864,0,1,
6,1906,1,0,
6,1948,1,0,
6,1988,1,0,
7,0,0,0,
7,49,0,0,
7,93,1,0,
7,141,0,0,
7,186,0,0,
7,239,1,0,
7,303,0,1,
7,364,0,1,
7,417,0,1,
7,471,0,1,
7,522,0,1,
7,571,0,1,
7,616,0,1,
7,660,0,1,
7,705,0,1,
7,760,0,0,
7,812,0,0,
7,862,0,0,
7,911,0,1,
7,959,0,1,
7,1005,1,0,
7,1055,0,0,
7,1102,0,0,
7,1155,1,0,
7,1209,0,0,
7,1263,0,0,
7,1318,1,0,
7,1373,0,0,
7,1419,0,1,
7,1470,0,1,
7,1525,0,0,
7,1571,0,0,
7,1617,0,0,
8,0,1,0,
8,53,1,0,
8,103,0,0,
8,154,1,0,
8,206,1,0,
8,255,1,0,
8,304,1,0,
8,354,1,0,
8,404,1,0,
8,457,1,0,
8,511,1,0,
8,561,1,0,
8,614,1,0,
8,664,1,0,
8,714,1,0,
8,760,1,0,
8,811,1,0,
8,861,1,0,
8,910,1,0,
8,961,1,0,
8,1009,0,1,
10,0,0,1,
10,45,0,0,
10,86,0,1,
10,129,0,1,
10,171,0,1,
10,210,0,0,
10,248,0,1,
10,298,1,0,
10,359,0,0,
10,413,0,0,
10,456,0,0,
10,501,0,0,
10,543,0,0,
10,587,0,0,
10,628,0,0,
10,669,0,0,
10,716,0,0,
10,757,0,0,
10,801,1,0,
10,843,1,0,
10,885,1,0,
10,927,0,0,
10,968,0,0,
10,1010,0,0,
10,1066,0,0,
11,0,0,1,
11,45,1,0,
11,94,0,0,
11,138,1,0,
11,182,0,0,
11,225,0,1,
11,280,0,1,
11,338,0,1,
11,390,0,1,
11,436,0,1,
11,482,0,1,
11,528,0,1,
11,572,0,1,
11,619,0,1,
11,665,0,1,
12,0,0,1,
12,44,0,1,
12,85,0,1,
12,127,0,1,
12,170,0,1,
12,211,0,1,
12,254,0,1,
12,297,0,1,
12,337,0,1,
12,379,0,1,
12,420,0,1,
12,458,0,1,
12,502,0,1,
13,0,1,0,
13,48,1,0,
13,96,1,0,
13,138,1,0,
13,183,1,0,
13,232,1,0,
13,276,1,0,
13,323,1,0,
13,374,1,0,
14,0,0,1,
14,48,1,0,
14,94,1,0,
14,136,1,0,
14,179,1,0,
14,221,1,0,
14,269,0,0,
14,314,1,0,
14,356,1,0,
14,410,1,0,
14,471,1,0,
14,518,1,0,
14,563,1,0,
14,610,1,0,
14,654,1,0,
14,699,1,0,
14,745,1,0,
14,792,1,0,
14,839,1,0,
14,882,1,0,
14,925,1,0,
14,967,1,0,
14,1012,0,1,
14,1053,0,1,
14,1098,0,1,
14,1140,0,1,
14,1181,0,1,
14,1222,0,1,
14,1268,0,1,
14,1310,0,1,
14,1352,0,1,
14,1400,0,1,
14,1446,0,1,
15,0,0,1,
15,45,1,0,
15,87,1,0,
15,128,0,1,
15,171,1,0,
15,211,0,1,
15,256,1,0,
15,298,1,0,
15,343,1,0,
15,386,1,0,
15,427,1,0,
15,468,1,0,
15,509,1,0,
