trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,0,32,
6,0,1,56,
6,0,0,81,
6,0,0,105,
6,0,1,131,
6,0,0,155,
6,1,0,181,
6,1,0,205,
6,0,0,232,
6,1,0,266,
6,0,1,291,
6,0,1,319,
6,0,1,349,
6,0,1,373,
6,0,1,398,
6,0,1,422,
6,0,1,449,
6,0,1,474,
6,0,1,499,
6,0,1,523,
6,0,1,551,
6,0,1,575,
6,0,1,600,
6,0,1,624,
6,0,1,649,
6,0,1,674,
6,0,1,699,
6,0,1,723,
6,0,1,749,
6,0,1,773,
6,0,1,800,
6,0,1,825,
6,0,1,868,
6,0,1,891,
6,0,0,916,
6,0,1,940,
6,0,1,966,
6,0,1,991,
6,0,1,1017,
6,0,1,1040,
6,0,1,1068,
6,0,1,1092,
6,0,1,1117,
6,0,1,1141,
6,0,1,1166,
6,0,1,1200,
6,0,1,1224,
6,0,1,1249,
6,0,0,1273,
6,0,0,1300,
6,0,1,1323,
6,0,1,1349,
6,0,0,1371,
6,0,0,1400,
6,0,0,1423,
6,0,1,1449,
6,0,1,1472,
6,0,1,1500,
6,0,1,1523,
6,0,0,1549,
6,0,1,1573,
6,0,1,1599,
7,0,0,0,
7,1,0,28,
7,1,0,51,
7,1,0,77,
7,1,0,101,
7,0,0,130,
7,1,0,154,
7,1,0,178,
7,1,0,202,
7,1,0,227,
7,1,0,251,
7,1,0,278,
7,1,0,311,
7,1,0,334,
7,1,0,361,
7,1,0,395,
7,1,0,420,
7,1,0,445,
7,1,0,469,
7,1,0,496,
7,1,0,520,
7,1,0,546,
7,1,0,569,
7,1,0,596,
7,1,0,620,
7,1,0,646,
7,0,0,670,
7,1,0,696,
7,1,0,719,
7,1,0,747,
7,1,0,770,
7,1,0,796,
7,1,0,819,
7,1,0,846,
7,1,0,870,
7,1,0,895,
7,1,0,918,
7,1,0,962,
7,1,0,986,
7,1,0,1013,
8,0,0,0,
8,0,0,37,
8,0,0,66,
8,0,1,90,
8,0,1,117,
8,1,0,141,
8,1,0,165,
8,1,0,188,
8,0,1,215,
8,1,0,239,
8,1,0,266,
8,0,1,289,
8,0,1,316,
8,0,1,349,
8,0,1,373,
