trial,times,_left_canvas,_right_canvas,Unnamed: 4
6,0,1,0,
6,38,0,0,
6,75,0,1,
6,108,0,1,
6,140,0,1,
6,173,1,0,
6,208,1,0,
6,243,1,0,
6,283,1,0,
6,317,1,0,
6,349,1,0,
6,381,0,0,
6,414,1,0,
6,447,1,0,
6,480,1,0,
6,513,1,0,
6,547,1,0,
6,589,1,0,
6,644,1,0,
6,681,1,0,
6,714,1,0,
6,748,1,0,
6,782,1,0,
6,814,1,0,
6,848,1,0,
6,884,1,0,
6,916,1,0,
6,949,1,0,
6,983,1,0,
6,1018,1,0,
6,1054,1,0,
6,1090,1,0,
6,1129,1,0,
6,1167,1,0,
6,1201,1,0,
6,1236,1,0,
6,1274,1,0,
6,1310,1,0,
6,1345,1,0,
6,1383,1,0,
6,1416,1,0,
6,1450,1,0,
6,1483,1,0,
6,1516,1,0,
6,1550,1,0,
6,1583,1,0,
6,1633,1,0,
6,1666,1,0,
6,1699,1,0,
6,1736,1,0,
6,1769,1,0,
6,1800,1,0,
7,0,0,0,
7,35,0,1,
7,69,0,1,
7,102,1,0,
7,134,0,1,
7,166,1,0,
7,199,1,0,
7,232,0,0,
7,265,1,0,
7,298,0,1,
7,333,1,0,
7,369,0,1,
7,440,0,1,
7,475,0,1,
7,506,0,1,
7,542,0,1,
7,576,0,1,
7,610,0,1,
7,651,0,1,
7,684,0,1,
7,718,0,1,
7,752,0,1,
7,786,0,1,
7,822,0,1,
7,856,0,1,
7,887,0,1,
7,919,0,1,
7,952,0,1,
7,987,0,1,
7,1021,0,1,
7,1060,0,1,
7,1097,0,1,
7,1128,0,1,
7,1162,0,1,
7,1194,0,1,
7,1227,0,1,
7,1260,0,1,
7,1291,0,1,
7,1324,0,1,
7,1358,0,1,
7,1391,0,1,
7,1424,0,1,
7,1459,0,1,
7,1494,0,1,
7,1529,0,0,
7,1563,0,1,
8,0,1,0,
8,34,0,1,
8,67,0,1,
8,100,0,1,
8,135,0,0,
8,168,1,0,
8,199,1,0,
8,233,0,0,
8,267,0,1,
8,303,1,0,
8,337,1,0,
8,372,1,0,
8,407,1,0,
8,442,1,0,
8,486,1,0,
8,545,1,0,
8,582,1,0,
8,616,1,0,
8,649,1,0,
8,684,1,0,
8,719,1,0,
8,754,1,0,
8,789,1,0,
8,823,1,0,
8,860,1,0,
8,900,1,0,
8,935,1,0,
8,969,1,0,
8,1003,1,0,
8,1039,1,0,
8,1073,1,0,
8,1107,1,0,
8,1138,1,0,
8,1170,1,0,
8,1206,1,0,
8,1241,1,0,
8,1274,1,0,
8,1306,1,0,
8,1339,1,0,
8,1372,1,0,
8,1406,1,0,
10,0,1,0,
10,39,0,0,
