trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,0,
6,0,19,0,
6,0,38,0,
6,0,56,0,
6,0,74,0,
6,0,100,0,
6,0,121,0,
6,0,139,0,
6,0,166,0,
6,0,184,0,
6,0,203,0,
6,0,222,0,
6,0,241,0,
6,0,267,0,
6,0,285,0,
6,0,304,0,
6,0,321,0,
6,0,339,0,
6,0,367,0,
6,0,386,0,
6,0,405,0,
6,0,423,0,
6,0,450,0,
6,0,469,0,
6,0,487,0,
6,0,506,0,
6,0,533,0,
6,0,552,0,
6,0,572,0,
6,0,591,0,
6,0,608,0,
6,0,627,0,
6,0,645,0,
6,0,664,0,
6,0,683,0,
6,0,700,0,
6,0,719,0,
6,0,737,0,
6,0,756,0,
6,0,774,0,
6,0,792,0,
6,0,811,0,
6,0,830,0,
6,0,847,0,
6,0,865,0,
6,0,883,0,
6,0,902,0,
6,0,921,0,
6,0,940,0,
6,0,958,0,
6,0,975,0,
6,0,993,0,
6,0,1013,0,
6,0,1032,0,
6,0,1051,0,
6,0,1070,0,
6,0,1087,0,
6,0,1105,0,
6,0,1133,0,
6,0,1152,0,
6,0,1170,0,
6,0,1189,0,
6,0,1207,0,
6,0,1224,0,
6,0,1243,0,
6,0,1267,0,
6,0,1285,0,
6,0,1304,0,
6,0,1321,0,
6,0,1339,0,
6,0,1356,0,
7,0,0,0,
7,0,18,0,
7,0,37,0,
7,0,63,0,
7,0,81,0,
7,0,100,0,
7,0,119,0,
7,0,137,0,
7,0,163,0,
7,0,181,0,
7,0,200,0,
7,0,218,0,
7,0,237,0,
7,0,263,0,
7,0,282,0,
7,0,300,0,
7,0,318,0,
7,0,336,0,
7,0,363,0,
7,0,381,0,
7,0,399,0,
7,0,418,0,
7,0,437,0,
7,0,463,0,
7,0,482,0,
7,0,512,0,
7,0,533,0,
7,0,551,0,
7,0,568,0,
7,0,586,0,
7,0,604,0,
7,0,622,0,
7,0,640,0,
7,0,657,0,
7,0,676,0,
7,0,694,0,
7,0,711,0,
7,0,728,0,
7,0,747,0,
7,0,765,0,
7,0,783,0,
7,0,800,0,
7,0,818,0,
7,0,838,0,
7,0,855,0,
7,0,873,0,
7,0,891,0,
7,0,910,0,
7,0,928,0,
7,0,945,0,
7,0,963,0,
7,0,980,0,
7,0,998,0,
7,0,1016,0,
7,0,1034,0,
7,0,1053,0,
7,0,1070,0,
7,0,1096,0,
7,0,1115,0,
7,0,1133,0,
7,0,1150,0,
8,0,0,0,
8,0,19,0,
8,0,38,0,
8,0,57,0,
8,0,75,0,
8,0,95,0,
8,0,114,0,
8,0,133,0,
8,0,151,0,
8,0,170,0,
8,0,197,0,
8,0,217,0,
8,0,235,0,
8,0,254,0,
8,0,281,0,
8,0,299,0,
8,0,318,0,
8,0,336,0,
8,0,355,0,
8,0,373,0,
8,0,397,0,
8,0,415,0,
8,0,438,0,
8,0,464,0,
8,0,483,0,
8,0,503,0,
8,0,522,0,
8,0,541,0,
8,0,564,0,
8,0,582,0,
8,0,601,0,
8,0,619,0,
8,0,637,0,
8,0,654,0,
8,0,674,0,
8,0,697,0,
8,0,716,0,
8,0,735,0,
8,0,752,0,
8,0,771,0,
8,0,798,0,
8,0,818,0,
8,0,838,0,
8,0,864,0,
8,0,883,0,
8,0,902,0,
8,0,921,0,
8,0,948,0,
8,0,967,0,
8,0,986,0,
8,0,1004,0,
8,0,1023,0,
8,0,1042,0,
8,0,1060,0,
8,0,1080,0,
8,0,1099,0,
