trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,56,0,
6,0,112,0,
6,1,166,0,
6,0,220,1,
6,1,273,0,
6,0,327,1,
6,0,382,1,
6,0,443,1,
6,0,495,1,
6,0,552,1,
6,0,607,1,
6,0,662,1,
6,0,719,1,
6,0,771,1,
6,0,828,1,
6,0,890,1,
6,0,964,1,
6,0,1015,1,
6,0,1074,1,
6,0,1142,1,
6,0,1208,0,
6,0,1270,1,
6,0,1326,1,
6,0,1378,1,
6,0,1434,0,
6,0,1490,0,
6,0,1550,1,
6,0,1606,1,
6,0,1659,1,
6,0,1714,1,
6,0,1772,1,
6,0,1828,1,
6,0,1885,0,
6,0,1944,0,
6,0,2000,1,
6,0,2050,1,
6,0,2105,1,
6,0,2158,1,
6,0,2212,1,
6,0,2270,1,
6,0,2338,1,
6,0,2395,1,
6,0,2451,1,
6,0,2512,1,
6,0,2568,1,
6,1,2629,0,
6,0,2682,1,
6,0,2740,0,
6,0,2801,1,
6,0,2854,1,
7,0,0,0,
7,1,56,0,
7,0,118,0,
7,0,169,0,
7,0,225,0,
7,1,278,0,
7,0,335,0,
7,0,395,0,
7,0,457,0,
7,0,519,0,
7,0,578,0,
7,0,634,0,
7,0,690,0,
7,0,750,0,
7,0,806,0,
7,0,858,0,
7,0,914,0,
7,1,971,0,
7,0,1025,0,
7,0,1088,0,
7,0,1162,0,
7,0,1221,0,
7,0,1283,0,
7,0,1339,0,
7,0,1393,0,
7,0,1452,0,
7,0,1507,0,
7,0,1563,0,
7,0,1619,0,
7,0,1678,0,
7,0,1743,0,
7,1,1802,0,
8,0,0,1,
8,0,92,1,
8,0,164,1,
8,0,227,1,
8,0,291,1,
8,0,348,1,
8,0,411,1,
8,0,475,1,
8,0,536,1,
8,0,612,1,
8,0,678,1,
8,0,742,1,
8,0,809,1,
8,0,878,1,
8,0,948,1,
8,0,1005,1,
8,0,1072,1,
8,0,1145,1,
8,0,1215,1,
8,0,1295,1,
8,0,1376,1,
7,0,0,0,
7,0,64,0,
7,0,135,1,
7,0,216,1,
7,0,301,1,
7,1,376,0,
7,0,443,0,
7,0,504,0,
7,0,564,0,
7,1,627,0,
7,1,684,0,
7,0,747,0,
7,1,808,0,
7,1,873,0,
7,0,938,1,
7,0,1001,1,
7,0,1068,1,
7,0,1130,1,
7,0,1193,0,
7,1,1250,0,
7,0,1311,0,
7,0,1367,0,
7,0,1423,0,
7,0,1483,0,
7,0,1753,1,
7,0,1824,1,
7,0,1905,0,
7,1,1964,0,
7,1,2019,0,
7,0,2074,0,
7,0,2139,0,
7,0,2222,0,
7,0,2287,0,
7,0,2346,0,
7,0,2402,0,
7,0,2465,0,
7,0,2526,0,
7,0,2585,0,
7,1,2649,0,
7,0,2713,1,
7,0,2772,0,
7,0,2845,1,
7,0,2922,1,
7,0,2987,1,
7,0,3046,0,
7,0,3106,0,
7,0,3174,0,
7,0,3227,0,
7,0,3288,0,
7,0,3352,0,
7,0,3415,0,
7,0,3470,0,
7,0,3527,0,
7,0,3587,0,
7,0,3659,0,
7,0,3732,0,
7,0,3805,0,
7,0,3867,0,
7,0,3953,0,
7,0,4029,0,
7,0,4100,0,
7,0,4259,0,
8,1,0,0,
8,1,60,0,
8,1,116,0,
8,0,174,0,
8,1,245,0,
8,0,308,0,
8,0,368,0,
8,0,421,0,
8,0,477,0,
8,0,533,0,
8,0,587,0,
8,0,644,1,
8,0,697,0,
8,0,752,0,
