trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,0,0,
6,1,0,38,
6,0,1,75,
6,0,1,114,
6,1,0,150,
6,0,0,185,
6,0,0,220,
6,1,0,260,
6,0,0,297,
6,0,0,331,
6,0,0,367,
6,0,0,402,
6,0,1,437,
6,0,0,474,
6,0,0,512,
6,0,1,548,
6,0,1,586,
6,1,0,624,
6,0,1,661,
6,0,1,696,
6,0,0,733,
6,0,0,769,
6,1,0,813,
6,0,0,851,
6,0,0,887,
6,0,0,926,
6,0,0,964,
6,0,0,1002,
6,0,1,1042,
6,1,0,1081,
6,1,0,1123,
7,0,1,0,
7,0,0,36,
7,0,0,75,
7,0,0,114,
7,0,1,152,
7,1,0,186,
7,0,1,221,
7,0,1,256,
7,1,0,292,
7,1,0,329,
7,0,0,365,
7,1,0,400,
7,1,0,434,
7,1,0,469,
7,1,0,508,
7,1,0,544,
7,1,0,581,
7,1,0,620,
7,1,0,657,
7,0,1,694,
7,0,0,730,
7,0,0,768,
7,1,0,804,
7,0,0,844,
7,0,0,881,
7,1,0,917,
7,1,0,952,
7,1,0,988,
7,0,1,1033,
7,1,0,1069,
7,1,0,1112,
7,0,0,1150,
7,0,1,1190,
7,0,1,1222,
7,1,0,1259,
7,1,0,1297,
7,1,0,1334,
7,1,0,1370,
7,1,0,1406,
7,0,0,1446,
7,0,0,1482,
7,0,0,1517,
7,0,0,1554,
7,0,0,1590,
7,1,0,1626,
7,0,0,1666,
7,1,0,1704,
7,0,1,1741,
7,1,0,1782,
7,1,0,1821,
7,1,0,1857,
7,1,0,1893,
7,0,0,1932,
7,0,0,1967,
7,0,0,1999,
7,0,0,2038,
7,0,0,2079,
7,0,0,2116,
7,0,1,2153,
7,0,1,2190,
7,0,1,2227,
7,0,1,2264,
7,0,1,2302,
7,1,0,2338,
7,1,0,2374,
7,1,0,2409,
7,1,0,2446,
7,1,0,2482,
7,1,0,2529,
8,1,0,0,
8,0,0,41,
8,0,1,81,
8,0,0,118,
8,0,1,155,
8,0,1,191,
8,0,1,228,
8,0,1,264,
8,0,1,304,
8,0,1,341,
8,0,1,377,
8,0,1,418,
8,0,1,452,
8,0,1,490,
8,0,1,526,
8,0,0,564,
8,0,0,604,
8,1,0,643,
8,0,1,686,
8,0,1,731,
8,0,0,779,
8,0,1,824,
8,0,1,865,
8,0,0,905,
8,1,0,944,
8,1,0,980,
8,1,0,1016,
8,1,0,1054,
8,1,0,1093,
8,0,0,1132,
8,0,1,1170,
8,0,1,1209,
8,0,1,1250,
8,0,1,1292,
8,0,0,1331,
8,0,0,1372,
8,1,0,1413,
8,1,0,1453,
8,0,0,1491,
8,0,0,1531,
10,0,0,0,
10,0,1,37,
10,0,1,71,
10,0,1,109,
10,0,1,144,
10,0,1,178,
10,0,1,212,
10,0,1,250,
10,0,1,286,
10,1,0,322,
10,1,0,355,
10,1,0,388,
10,1,0,422,
10,1,0,462,
10,1,0,500,
10,1,0,533,
10,1,0,568,
10,1,0,606,
10,1,0,647,
10,1,0,682,
10,1,0,716,
10,1,0,761,
10,1,0,828,
10,1,0,865,
10,1,0,903,
10,1,0,940,
10,1,0,980,
10,1,0,1017,
10,1,0,1056,
10,1,0,1092,
10,1,0,1131,
10,1,0,1168,
10,1,0,1205,
10,1,0,1267,
10,1,0,1304,
10,1,0,1348,
11,0,1,0,
11,0,1,36,
11,0,0,72,
11,0,0,110,
11,0,0,152,
11,0,1,188,
11,0,1,225,
11,0,1,263,
11,0,1,302,
11,0,1,343,
11,0,1,380,
11,0,1,418,
11,0,1,454,
11,1,0,491,
11,1,0,532,
11,1,0,567,
11,1,0,607,
11,1,0,651,
11,1,0,689,
11,1,0,730,
11,1,0,767,
11,1,0,805,
11,1,0,847,
11,1,0,885,
11,1,0,924,
11,1,0,962,
11,1,0,999,
11,1,0,1037,
11,1,0,1079,
11,1,0,1121,
11,1,0,1158,
11,1,0,1195,
11,1,0,1233,
11,1,0,1270,
11,1,0,1307,
11,1,0,1348,
12,0,0,0,
12,1,0,38,
12,0,0,74,
12,0,0,111,
12,0,1,149,
12,0,1,185,
12,0,1,218,
12,0,0,253,
12,1,0,292,
12,1,0,330,
12,1,0,366,
12,1,0,407,
12,1,0,446,
12,1,0,486,
12,1,0,525,
12,1,0,560,
12,1,0,596,
12,1,0,632,
12,1,0,672,
12,1,0,707,
12,1,0,739,
12,1,0,774,
12,1,0,815,
12,1,0,854,
12,1,0,891,
12,1,0,926,
12,0,1,961,
12,0,1,999,
12,0,1,1035,
12,0,1,1070,
12,0,0,1106,
12,0,0,1142,
12,0,1,1177,
12,0,1,1211,
12,0,1,1248,
12,0,1,1284,
12,0,1,1319,
12,0,1,1356,
12,0,1,1394,
12,0,1,1432,
12,1,0,1471,
12,1,0,1513,
12,1,0,1550,
12,1,0,1591,
12,1,0,1628,
12,1,0,1665,
12,1,0,1704,
12,1,0,1741,
12,1,0,1779,
12,1,0,1817,
12,1,0,1858,
12,1,0,1896,
12,1,0,1929,
12,1,0,1966,
12,1,0,2004,
12,1,0,2040,
12,1,0,2080,
12,1,0,2117,
13,0,0,0,
13,0,1,37,
13,0,0,73,
13,0,0,107,
13,1,0,144,
13,1,0,174,
13,1,0,209,
13,0,0,244,
13,0,0,280,
13,0,0,316,
13,0,0,353,
13,1,0,389,
13,0,0,425,
13,0,0,461,
13,1,0,497,
13,1,0,531,
13,0,1,565,
13,0,1,601,
13,0,1,641,
13,0,0,677,
13,0,0,714,
13,1,0,756,
13,1,0,797,
14,1,0,0,
14,1,0,37,
14,1,0,74,
14,1,0,109,
14,1,0,144,
14,1,0,185,
14,1,0,220,
14,1,0,256,
14,1,0,295,
14,1,0,333,
14,1,0,367,
14,1,0,402,
14,1,0,437,
14,1,0,474,
14,1,0,509,
14,1,0,545,
14,1,0,579,
14,1,0,615,
14,1,0,651,
14,1,0,688,
14,1,0,725,
14,1,0,762,
14,1,0,798,
14,1,0,833,
14,1,0,864,
14,1,0,903,
14,1,0,943,
14,1,0,981,
