trial,_right_canvas,_left_canvas,times,Unnamed: 4
6,0,1,0,
6,0,1,34,
6,0,0,67,
6,1,0,100,
6,0,1,134,
6,0,0,160,
6,1,0,186,
6,1,0,218,
6,1,0,244,
6,0,1,275,
6,0,1,305,
6,0,1,335,
6,0,0,368,
6,0,1,411,
6,0,1,453,
6,0,1,487,
6,0,1,520,
6,0,1,552,
6,0,1,586,
6,0,1,618,
6,0,1,644,
6,0,1,672,
6,0,1,702,
6,0,1,736,
6,0,1,770,
6,0,1,803,
6,0,1,828,
6,0,1,857,
6,0,1,888,
6,0,1,921,
6,0,1,954,
6,0,1,988,
6,0,1,1023,
6,0,1,1056,
6,0,1,1088,
6,0,1,1122,
6,0,0,1157,
6,0,1,1189,
6,0,1,1223,
6,0,1,1256,
6,0,0,1281,
6,0,1,1311,
6,0,1,1339,
6,0,1,1373,
6,0,1,1406,
6,0,1,1440,
6,0,1,1463,
6,0,1,1490,
6,0,1,1523,
6,0,1,1548,
6,0,1,1575,
6,0,1,1599,
6,0,1,1626,
6,0,1,1651,
6,0,1,1678,
6,0,1,1709,
6,0,1,1741,
6,0,1,1775,
6,0,0,1807,
6,0,0,1830,
6,1,0,1858,
6,0,0,1891,
6,1,0,1924,
7,1,0,0,
7,1,0,25,
7,0,0,55,
7,0,0,85,
7,0,0,117,
7,1,0,143,
7,0,1,168,
7,0,1,200,
7,0,1,235,
7,0,0,267,
7,0,1,302,
7,0,1,335,
7,0,1,361,
7,0,1,389,
7,1,0,418,
7,1,0,443,
7,1,0,470,
7,1,0,502,
7,1,0,527,
7,1,0,554,
7,1,0,586,
7,1,0,618,
7,1,0,645,
7,1,0,675,
7,1,0,704,
7,1,0,737,
7,1,0,769,
7,1,0,803,
7,1,0,836,
7,1,0,870,
7,1,0,902,
7,1,0,935,
7,1,0,1000,
7,1,0,1037,
7,1,0,1070,
7,1,0,1104,
7,1,0,1137,
7,1,0,1170,
7,1,0,1204,
7,1,0,1238,
7,1,0,1270,
7,1,0,1303,
7,1,0,1328,
7,1,0,1355,
7,1,0,1387,
7,1,0,1420,
7,1,0,1454,
7,1,0,1488,
7,1,0,1522,
7,1,0,1556,
7,1,0,1589,
7,1,0,1621,
7,1,0,1646,
7,1,0,1673,
7,1,0,1707,
7,0,1,1740,
7,0,1,1772,
7,1,0,1805,
7,0,1,1839,
7,0,1,1864,
7,0,1,1890,
8,0,1,0,
8,0,1,31,
8,0,1,55,
8,0,1,83,
8,0,1,115,
8,0,1,149,
8,0,1,182,
8,0,1,216,
8,0,1,251,
8,0,1,283,
8,0,1,308,
8,0,1,336,
8,0,1,367,
8,0,1,400,
8,0,1,433,
8,0,1,468,
8,0,1,501,
8,0,1,541,
8,0,1,582,
8,0,1,611,
8,0,1,640,
8,0,0,670,
8,0,1,703,
8,0,1,735,
8,0,1,769,
8,0,0,802,
8,0,0,836,
8,0,0,868,
8,0,0,902,
8,0,1,936,
8,0,1,969,
8,0,1,1002,
8,0,1,1036,
8,0,1,1069,
8,0,1,1104,
8,0,1,1136,
8,0,1,1169,
8,0,1,1194,
8,0,1,1219,
8,0,1,1254,
8,0,1,1288,
8,0,1,1320,
8,0,1,1355,
8,0,1,1387,
8,0,1,1420,
8,0,1,1453,
8,0,1,1488,
8,0,1,1522,
8,0,1,1555,
8,0,1,1588,
8,0,1,1621,
8,0,1,1654,
8,0,1,1754,
8,0,1,1787,
8,0,1,1823,
8,0,1,1859,
8,0,1,1889,
8,0,1,1923,
8,0,1,1955,
8,0,1,1988,
8,0,1,2021,
8,0,1,2044,
7,1,0,0,
7,0,1,32,
7,0,1,64,
7,0,1,96,
7,0,1,130,
7,0,1,164,
7,0,1,196,
7,0,1,230,
7,0,1,263,
7,0,1,291,
7,0,1,318,
7,0,1,347,
7,1,0,381,
7,1,0,414,
7,1,0,447,
7,0,0,481,
7,1,0,514,
7,1,0,547,
7,1,0,581,
7,1,0,614,
7,1,0,647,
7,1,0,673,
7,1,0,703,
7,1,0,731,
7,1,0,764,
7,1,0,797,
7,1,0,830,
7,1,0,864,
7,1,0,897,
7,1,0,930,
7,1,0,964,
7,1,0,997,
7,1,0,1031,
7,1,0,1065,
7,1,0,1098,
7,0,0,1132,
7,0,0,1159,
7,0,0,1188,
7,0,0,1218,
7,0,1,1249,
7,1,0,1282,
7,1,0,1316,
7,1,0,1350,
7,1,0,1383,
7,1,0,1416,
7,0,0,1452,
7,1,0,1483,
7,1,0,1506,
7,1,0,1534,
7,1,0,1566,
7,1,0,1600,
7,1,0,1633,
7,1,0,1657,
7,1,0,1684,
7,1,0,1705,
7,0,0,1734,
7,1,0,1768,
7,1,0,1800,
7,1,0,1834,
7,0,0,1862,
7,0,0,1889,
7,1,0,1919,
7,1,0,1951,
7,1,0,1985,
7,1,0,2020,
7,1,0,2051,
7,1,0,2088,
7,1,0,2118,
7,1,0,2151,
7,0,0,2176,
7,0,1,2201,
7,1,0,2235,
8,0,0,0,
8,1,0,33,
8,1,0,67,
8,1,0,99,
8,0,1,132,
8,1,0,166,
8,1,0,193,
8,1,0,226,
8,1,0,259,
8,1,0,288,
8,1,0,316,
8,1,0,340,
8,1,0,366,
8,1,0,400,
8,1,0,425,
8,1,0,450,
8,1,0,484,
8,1,0,518,
8,1,0,552,
8,1,0,586,
8,1,0,618,
8,1,0,652,
8,1,0,686,
8,1,0,718,
8,1,0,752,
8,1,0,786,
8,1,0,820,
8,1,0,853,
8,0,0,886,
8,1,0,919,
8,1,0,952,
8,1,0,986,
8,1,0,1019,
8,1,0,1053,
8,1,0,1086,
8,1,0,1120,
8,1,0,1152,
8,1,0,1186,
8,1,0,1221,
8,1,0,1252,
8,0,0,1286,
8,1,0,1320,
8,1,0,1345,
8,1,0,1371,
8,1,0,1405,
8,1,0,1438,
8,1,0,1469,
8,1,0,1493,
8,1,0,1520,
8,1,0,1553,
8,1,0,1587,
8,1,0,1620,
8,1,0,1646,
10,0,1,0,
