trial,_right_canvas,times,_left_canvas,Unnamed: 4
6,0,0,1,
6,0,52,0,
6,0,124,1,
6,0,197,1,
6,0,236,1,
6,0,286,1,
6,0,332,1,
6,0,386,0,
6,1,441,0,
6,1,496,0,
6,1,537,0,
6,1,650,0,
6,1,744,0,
6,0,787,1,
6,0,838,1,
6,0,886,1,
6,0,937,1,
6,0,983,1,
6,0,1019,1,
6,0,1064,1,
6,0,1109,1,
6,0,1168,1,
6,0,1212,1,
6,0,1260,1,
6,0,1317,1,
7,0,0,0,
7,0,50,1,
7,0,108,1,
7,0,154,1,
7,0,191,0,
7,0,232,0,
7,1,274,0,
7,0,326,0,
7,0,366,1,
7,0,415,1,
7,1,469,0,
7,1,515,0,
7,1,559,0,
7,0,604,1,
7,0,645,0,
7,0,707,1,
7,1,757,0,
7,0,807,1,
7,0,850,1,
7,1,901,0,
7,0,940,0,
7,0,982,0,
7,1,1028,0,
7,0,1069,0,
7,0,1106,1,
7,0,1151,1,
7,0,1198,1,
7,1,1242,0,
7,0,1282,1,
7,0,1324,0,
7,0,1374,0,
7,1,1413,0,
7,0,1454,0,
8,0,0,0,
8,0,33,0,
8,1,67,0,
8,1,112,0,
8,1,151,0,
8,1,185,0,
8,0,219,1,
8,0,256,1,
8,0,293,1,
8,0,328,1,
8,0,381,1,
8,0,422,1,
8,0,453,1,
8,0,494,1,
8,0,549,1,
8,0,586,1,
8,0,625,1,
8,0,664,1,
8,0,728,1,
8,0,784,1,
8,0,827,1,
8,0,876,1,
8,0,921,1,
8,0,956,1,
8,0,987,1,
8,0,1020,0,
8,0,1058,0,
8,0,1096,1,
8,0,1144,1,
10,0,0,1,
10,0,36,1,
10,1,68,0,
10,0,110,0,
10,0,151,0,
10,0,197,1,
10,1,248,0,
10,1,310,0,
10,0,371,0,
10,1,415,0,
10,1,462,0,
10,1,513,0,
10,0,570,1,
10,0,623,1,
10,0,671,1,
10,0,714,1,
10,0,770,1,
10,0,819,0,
10,0,868,1,
10,0,924,1,
10,0,979,1,
11,1,0,0,
11,0,84,0,
11,0,144,0,
11,1,175,0,
11,1,213,0,
11,1,262,0,
11,1,309,0,
11,1,362,0,
11,1,416,0,
11,1,468,0,
11,1,508,0,
11,1,551,0,
11,1,597,0,
11,1,638,0,
11,1,680,0,
11,1,724,0,
11,1,782,0,
11,1,832,0,
11,1,888,0,
11,1,929,0,
11,1,976,0,
11,1,1025,0,
11,1,1068,0,
12,0,0,1,
12,0,44,1,
12,0,98,1,
12,0,147,1,
12,0,199,0,
12,1,247,0,
12,0,303,1,
12,0,355,1,
12,0,398,0,
12,0,438,1,
12,1,484,0,
12,1,529,0,
12,1,579,0,
12,1,634,0,
12,1,689,0,
12,1,724,0,
12,1,770,0,
12,1,817,0,
12,1,863,0,
12,1,907,0,
12,1,946,0,
12,1,1016,0,
12,1,1068,0,
12,1,1107,0,
12,1,1151,0,
12,1,1199,0,
12,1,1247,0,
12,1,1283,0,
12,1,1320,0,
12,1,1364,0,
12,1,1400,0,
12,1,1444,0,
12,1,1498,0,
13,0,0,1,
13,0,70,1,
13,1,165,0,
13,1,234,0,
13,0,291,1,
13,0,339,0,
13,0,381,1,
13,0,428,1,
13,0,492,1,
13,0,534,1,
13,0,579,1,
13,0,626,1,
13,0,658,1,
13,0,700,1,
13,0,739,1,
13,0,799,1,
13,0,842,1,
13,0,880,1,
13,0,925,1,
13,0,963,1,
13,0,1002,1,
13,1,1040,0,
13,1,1073,0,
13,0,1111,0,
13,0,1144,1,
13,0,1186,1,
13,0,1225,1,
13,0,1260,1,
13,0,1300,1,
13,0,1339,1,
13,0,1376,1,
13,0,1413,1,
13,0,1453,1,
13,0,1484,1,
13,0,1515,1,
13,0,1563,1,
13,0,1608,1,
13,0,1648,1,
13,0,1701,1,
13,0,1752,1,
13,0,1795,1,
13,0,1843,1,
13,0,1892,1,
13,0,1951,0,
13,0,1989,0,
14,0,0,1,
14,0,52,1,
14,0,105,1,
14,1,153,0,
14,0,207,1,
14,0,263,1,
14,0,321,1,
14,1,375,0,
14,1,423,0,
14,1,458,0,
14,1,492,0,
14,1,537,0,
14,0,583,1,
14,1,613,0,
14,1,645,0,
14,1,685,0,
14,1,736,0,
14,1,779,0,
14,1,832,0,
14,1,883,0,
14,0,931,1,
